New head: (2,8)Removed tail: (2,2)Current head: (2,8)
New head: (2,9)Removed tail: (2,3)Current head: (2,9)
New head: (2,10)Removed tail: (2,4)Current head: (2,10)
New head: (1,10)Removed tail: (2,5)Current head: (1,10)
New head: (1,11)Removed tail: (2,6)Current head: (1,11)
New head: (1,12)Removed tail: (2,7)Current head: (1,12)
New head: (1,13)Removed tail: (2,8)Current head: (1,13)
New head: (1,14)Removed tail: (2,9)Current head: (1,14)
New head: (1,15)Removed tail: (2,10)Current head: (1,15)
New head: (1,16)Removed tail: (1,10)Current head: (1,16)
New head: (1,17)Removed tail: (1,11)Current head: (1,17)
New head: (1,18)Removed tail: (1,12)Current head: (1,18)
New head: (1,19)Removed tail: (1,13)Current head: (1,19)
New head: (1,20)Removed tail: (1,14)Current head: (1,20)
New head: (1,21)Removed tail: (1,15)Current head: (1,21)
New head: (1,22)Removed tail: (1,16)Current head: (1,22)
New head: (1,23)Removed tail: (1,17)Current head: (1,23)
New head: (1,24)Removed tail: (1,18)Current head: (1,24)
New head: (1,25)Removed tail: (1,19)Current head: (1,25)
New head: (1,26)Current head: (1,26)
New head: (1,27)Removed tail: (1,22)Current head: (1,27)
New head: (1,28)Removed tail: (1,23)Current head: (1,28)
New head: (1,29)Removed tail: (1,24)Current head: (1,29)
New head: (1,30)Removed tail: (1,25)Current head: (1,30)
New head: (2,30)Removed tail: (1,26)Current head: (2,30)
New head: (3,30)Removed tail: (1,27)Current head: (3,30)
New head: (4,30)Removed tail: (1,28)Current head: (4,30)
New head: (4,29)Removed tail: (1,29)Current head: (4,29)
New head: (4,28)Removed tail: (1,30)Current head: (4,28)
New head: (4,27)Removed tail: (2,30)Current head: (4,27)
New head: (5,27)Removed tail: (3,30)Current head: (5,27)
New head: (6,27)Removed tail: (4,30)Current head: (6,27)
New head: (6,26)Removed tail: (4,29)Current head: (6,26)
New head: (6,25)Removed tail: (4,28)Current head: (6,25)
New head: (7,25)Removed tail: (4,27)Current head: (7,25)
New head: (8,25)Removed tail: (5,27)Current head: (8,25)
New head: (8,24)Removed tail: (6,27)Current head: (8,24)
New head: (8,23)Removed tail: (6,26)Current head: (8,23)
New head: (9,23)Removed tail: (6,25)Current head: (9,23)
New head: (10,23)Removed tail: (7,25)Current head: (10,23)
New head: (10,22)Removed tail: (8,25)Current head: (10,22)
New head: (10,21)Removed tail: (8,24)Current head: (10,21)
New head: (10,20)Removed tail: (8,23)Current head: (10,20)
